OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
244,2,0,3.6,1.0,9.498443800777615,0.956,0.04400000000000004,neg_cluster,NS,NS
245,2,0,3.6,1.0,9.498443800777615,0.966,0.03400000000000003,neg_cluster,NS,NS
246,2,1,3.6,1.0,7.412711990461736,0.935,0.06499999999999995,NS,NS,NS
247,0,0,0.309930322,0.86632911,2.309854848911831,0.723,0.277,NS,NS,NS
248,0,0,0.701323146,0.65527205,5.5249540544091635,0.948,0.052000000000000046,NS,NS,NS
249,0,0,3.104303292,0.75081437,3.9344471735896414,0.743,0.257,NS,NS,NS
250,8,1,0.278,1.0,0.6424378395864848,0.226,0.226,NS,NS,NS
251,8,1,0.278,1.0,1.3506105211913915,0.545,0.45499999999999996,NS,NS,NS
252,8,1,0.278,1.0,1.3470067612039596,0.526,0.474,NS,NS,NS
253,0,0,0.292038448,0.89545831,0.2993865588605155,0.049,0.049,pos_cluster,NS,NS
254,0,0,0.726818772,0.34423013,1.827877443796731,0.565,0.43500000000000005,NS,NS,NS
255,0,0,1.518729935,5.99341746,5.708567413108394,0.194,0.194,NS,NS,NS
256,5,1,1.0,1.0,0.7268754972489916,0.295,0.295,NS,NS,NS
257,5,1,1.0,1.0,0.08120748862078243,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
258,5,1,1.0,1.0,0.5140695807973318,0.156,0.156,NS,NS,NS
259,0,0,0.811042747,0.56618098,1.2438411404155598,0.498,0.498,NS,NS,NS
260,0,0,0.881611952,2.96022008,2.1529958123020547,0.336,0.336,NS,NS,NS
261,0,0,0.309901708,0.65556778,1.575637533176383,0.553,0.44699999999999995,NS,NS,NS
262,2,1,3.6,1.0,5.872509362894627,0.895,0.10499999999999998,NS,NS,NS
263,2,1,3.6,1.0,7.077935279556918,0.92,0.07999999999999996,NS,NS,NS
264,2,1,3.6,1.0,6.438105642481572,0.921,0.07899999999999996,NS,NS,NS
265,0,0,1.540930431,8.24224393,8.86529917223803,0.193,0.193,NS,NS,NS
266,0,0,0.286603684,0.08387726,3.0529409054218206,0.84,0.16000000000000003,NS,NS,NS
267,0,0,0.642652844,1.96423175,4.0668545854197395,0.957,0.04300000000000004,neg_cluster,NS,NS
268,0,0,6.106608973,4.86076189,22.03011398071528,0.438,0.438,NS,NS,NS
269,0,0,1.929799948,0.97088928,4.64279532124239,0.947,0.05300000000000005,NS,NS,NS
270,0,0,1.763138625,0.82323318,2.469617429146788,0.749,0.251,NS,NS,NS
271,0,0,1.150575959,16.4136188,7.503158544734603,0.009,0.009,pos_cluster,pos_cluster,NS
272,0,0,1.652121037,0.95917074,1.7417902808758798,0.571,0.42900000000000005,NS,NS,NS
273,0,0,0.743956051,1.19071501,0.26307682525413395,0.041,0.041,pos_cluster,NS,NS
274,0,0,0.673485419,2.23364376,1.4626451761410197,0.269,0.269,NS,NS,NS
275,0,0,0.417599675,1.0419948,0.8638016080540762,0.347,0.347,NS,NS,NS
276,0,0,0.862857279,0.5061221,0.25878814355413426,0.044,0.044,pos_cluster,NS,NS
277,0,0,2.305366594,0.88346958,0.5517069245723588,0.038,0.038,pos_cluster,NS,NS
278,0,0,2.000299692,2.74964878,3.5342109611567665,0.596,0.404,NS,NS,NS
279,0,0,0.319570314,0.45228327,3.2483446303785977,0.755,0.245,NS,NS,NS
280,0,0,2.490725698,0.80372592,1.6047238997766375,0.292,0.292,NS,NS,NS
281,0,0,1.318748989,1.03218368,0.9125739799235073,0.301,0.301,NS,NS,NS
282,0,0,1.633615407,0.66545062,1.6560169221191057,0.463,0.463,NS,NS,NS
283,0,0,1.509992572,1.66912907,0.9281459249498705,0.061,0.061,NS,NS,NS
284,0,0,2.982490365,2.02887308,2.998336678083261,0.344,0.344,NS,NS,NS
285,0,0,0.592570447,0.33171026,3.356313407826962,0.846,0.15400000000000003,NS,NS,NS
286,0,0,3.634096674,0.72080829,2.389697946015622,0.438,0.438,NS,NS,NS
287,0,0,0.885476379,0.74884907,5.407011188478884,0.951,0.049000000000000044,neg_cluster,NS,NS
288,0,0,0.651832143,1.03034421,0.3210714048524659,0.083,0.083,NS,NS,NS
289,0,0,2.792064603,0.66347581,3.8917971260096347,0.759,0.241,NS,NS,NS
290,0,0,3.313724465,0.87850978,3.2721350294442586,0.619,0.381,NS,NS,NS
291,0,0,1.100776966,0.80140315,0.3343097308404577,0.06,0.06,NS,NS,NS
292,0,0,0.154267241,0.61974013,0.3274544501731628,0.067,0.067,NS,NS,NS
293,0,0,0.799675977,0.52999957,0.25287092705583464,0.041,0.041,pos_cluster,NS,NS
294,0,0,0.629655908,0.31724428,0.41551032891730955,0.044,0.044,pos_cluster,NS,NS
295,0,0,1.390600372,1.67496004,1.3172884835980587,0.259,0.259,NS,NS,NS
296,0,0,0.412201719,0.43373375,1.6375018071912333,0.528,0.472,NS,NS,NS
297,0,0,1.544183225,0.32686669,2.674945362205655,0.621,0.379,NS,NS,NS
298,0,0,0.959686254,12.0813679,6.854619218073623,0.07,0.07,NS,NS,NS
299,0,0,1.589876294,0.45690298,2.3644103600391557,0.595,0.405,NS,NS,NS
300,0,0,0.571795946,0.30270894,0.7914573857709646,0.193,0.193,NS,NS,NS
301,0,0,2.294999441,0.32505306,1.6508258765189736,0.181,0.181,NS,NS,NS
302,0,0,2.470324556,1.24089719,1.6129561043427665,0.31,0.31,NS,NS,NS
303,0,0,0.188468122,1.79527082,1.187847698861911,0.198,0.198,NS,NS,NS
304,0,0,1.269732074,0.48832651,0.39297600186267745,0.302,0.302,NS,NS,NS
305,0,0,1.308924609,1.31245074,1.2908072074494168,0.785,0.21499999999999997,NS,NS,NS
306,0,0,0.45911185,6.10264185,4.855842169999303,0.227,0.227,NS,NS,NS
307,0,0,0.602666953,0.32167678,6.142989434671819,0.945,0.05500000000000005,NS,NS,NS
308,0,0,0.732061339,4.52205255,2.8813532950714276,0.213,0.213,NS,NS,NS
309,0,0,0.416959011,1.76908598,1.3045492143831714,0.29,0.29,NS,NS,NS
310,0,0,0.620352467,0.44793951,0.3175928306285366,0.059,0.059,NS,NS,NS
311,0,0,0.750494098,0.22387094,0.41404944814579214,0.025,0.025,pos_cluster,NS,NS
312,0,0,1.937097835,0.60412248,1.4970401048329842,0.298,0.298,NS,NS,NS
313,0,0,0.332795914,1.46372784,0.25880878511091304,0.013,0.013,pos_cluster,NS,NS
314,0,0,0.57330518,0.43227178,0.44560471665731455,0.104,0.104,NS,NS,NS
315,0,0,0.579157299,0.48030783,0.5776163353542889,0.181,0.181,NS,NS,NS
316,0,0,1.029847093,1.85491855,0.8358050741119326,0.124,0.124,NS,NS,NS
317,0,0,0.73822407,0.94652444,0.49368796985040486,0.163,0.163,NS,NS,NS
318,0,0,0.832405575,0.81897625,0.780246533273598,0.357,0.357,NS,NS,NS
319,0,0,0.691341162,2.05127573,0.6358257097263886,0.065,0.065,NS,NS,NS
320,0,0,1.107713255,1.79971387,1.7273491411723767,0.494,0.494,NS,NS,NS
321,0,0,0.693263111,2.63146038,0.6605116674796293,0.04,0.04,pos_cluster,NS,NS
322,0,0,2.684126655,0.67475848,4.913866304201619,0.895,0.10499999999999998,NS,NS,NS
323,0,0,3.069395641,1.83417206,5.922360700604543,0.947,0.05300000000000005,NS,NS,NS
324,0,0,1.048635683,0.29265985,4.911302850988234,0.954,0.04600000000000004,neg_cluster,NS,NS
325,0,0,13.27499259,2.41210431,28.240247544402216,0.859,0.14100000000000001,NS,NS,NS
326,9,1,0.278,0.278,6.787954216059625,0.932,0.06799999999999995,NS,NS,NS
327,9,1,0.278,0.278,0.7019082471349904,0.112,0.112,NS,NS,NS
328,9,1,0.278,0.278,0.41098716265290236,0.034,0.034,pos_cluster,NS,NS
329,0,0,2.350160931,0.99047476,0.9492710686099801,0.134,0.134,NS,NS,NS
330,0,0,1.194647208,0.2623074,1.198568003964048,0.262,0.262,NS,NS,NS
331,0,0,3.693720324,0.8040456,2.1234523536479695,0.301,0.301,NS,NS,NS
332,6,1,1.0,0.278,0.8288807710762113,0.189,0.189,NS,NS,NS
333,6,1,1.0,0.278,0.8039028504196075,0.157,0.157,NS,NS,NS
334,6,1,1.0,0.278,0.9765502530809969,0.251,0.251,NS,NS,NS
335,0,0,1.166529473,0.08849567,2.075152329568286,0.447,0.447,NS,NS,NS
336,0,0,1.079306828,1.00961166,1.1792951950851038,0.52,0.48,NS,NS,NS
